PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Willson Contreras,124,461,533,110,22,1,20,67,66,49,125,6,0.239,0.235,96.22,11609
Ketel Marte,138,548,616,147,37,2,17,78,70,54,106,6,0.268,0.173,201.84,13613
Christian Yelich,146,562,666,140,26,3,21,90,68,89,165,18,0.25,0.247,115.21,11477
Max Muncy,134,483,578,113,21,1,25,76,77,82,134,2,0.235,0.232,135.42,13301
Seiya Suzuki,126,478,550,125,24,2,23,72,73,60,121,10,0.261,0.22,160.88,30116
Vinnie Pasquantino,134,506,579,141,30,2,22,74,80,62,80,3,0.278,0.138,93.74,27676
Lars Nootbaar,118,443,516,109,19,3,20,70,62,62,110,7,0.246,0.212,179.5,21454
Nathaniel Lowe,147,564,641,153,26,3,25,80,85,65,149,5,0.271,0.232,107.22,19566
J.P. Crawford,141,497,569,128,26,2,8,62,51,57,84,6,0.257,0.148,414.86,15491
Ty France,141,560,626,152,30,1,21,76,77,42,103,1,0.271,0.165,179.07,17982
Kyle Schwarber,146,559,657,131,21,2,39,96,90,82,186,8,0.234,0.284,54.11,16478
Jorge Polanco,122,469,531,122,25,1,18,65,64,52,105,8,0.259,0.197,169.43,13152
Taylor Ward,138,542,623,141,28,2,21,86,69,65,138,8,0.261,0.221,110.53,17548
Jean Segura,128,485,534,133,23,2,10,57,54,35,82,14,0.274,0.153,225.87,5933
Isaac Paredes,115,401,464,96,19,1,18,55,58,53,79,2,0.239,0.17,301,20036
Jake Cronenworth,143,542,618,135,29,4,15,74,72,60,108,4,0.249,0.175,194.49,18036
Jonah Heim,98,363,403,86,18,1,13,43,45,33,77,3,0.236,0.192,248.41,16930
Ke'Bryan Hayes,136,518,578,133,30,3,12,64,59,48,124,19,0.257,0.215,175.2,18577
Ian Happ,147,564,644,140,31,2,22,77,79,67,159,11,0.248,0.246,150,17919
Brendan Donovan,117,453,528,121,25,1,8,68,45,57,85,6,0.268,0.162,272.17,24679
Corbin Carroll,139,559,639,133,27,7,19,84,62,61,171,20,0.237,0.267,56.33,25878
Luis UrÃ­as,133,478,549,115,23,1,18,62,62,55,115,4,0.241,0.209,243.62,16622
Randy Arozarena,149,584,656,149,33,2,22,82,82,53,165,32,0.256,0.251,37.08,19290
DJ LeMahieu,122,489,559,134,23,1,13,74,52,56,77,6,0.274,0.138,247.79,9874
Kolten Wong,122,487,549,123,24,2,12,68,50,43,97,19,0.252,0.177,252.01,12532
Riley Greene,136,542,607,138,27,5,13,66,62,53,157,7,0.255,0.259,193.72,25976
Starling Marte,133,543,600,145,26,4,16,80,67,36,118,30,0.267,0.197,90.28,9241
YoÃ¡n Moncada,138,517,587,128,27,2,17,67,66,58,152,4,0.247,0.258,292.22,17232
Eloy JimÃ©nez,141,551,606,150,26,1,31,78,94,45,138,1,0.271,0.228,75.68,17484
Jose Trevino,84,305,327,75,15,1,8,34,36,15,60,2,0.245,0.184,360.67,16725
Christian Walker,150,569,644,144,29,2,27,80,91,63,136,3,0.253,0.211,132.93,13419
Ha-Seong Kim,118,429,480,106,21,2,13,54,54,41,87,11,0.248,0.18,247.21,27506
Anthony Rizzo,131,498,579,125,20,1,27,77,81,59,103,8,0.251,0.178,158.63,3473
Thairo Estrada,133,524,579,135,25,2,16,69,63,37,99,19,0.257,0.171,164.91,16426
Tyler O'Neill,128,475,532,115,20,2,24,65,70,43,150,17,0.243,0.282,100.79,15711
Jonathan India,141,561,645,141,29,2,17,82,60,58,138,11,0.252,0.214,176.82,21523
Harrison Bader,118,423,470,105,20,3,13,54,54,34,102,19,0.249,0.217,210.45,18030
Jeremy PeÃ±a,143,591,640,145,25,3,23,81,72,31,147,14,0.246,0.23,115.58,21636
Trent Grisham,125,438,506,98,20,2,17,60,58,55,131,11,0.224,0.259,317.54,18564
Tony Kemp,126,498,568,126,26,2,9,65,45,53,74,12,0.253,0.13,445.34,14894
Eugenio SuÃ¡rez,144,531,608,114,20,1,27,70,76,64,186,1,0.215,0.306,157.78,12552
Andrew Benintendi,130,509,571,136,25,2,15,67,66,52,99,10,0.268,0.174,215.64,17901
Danny Jansen,105,359,407,85,17,1,19,52,56,37,79,2,0.238,0.194,186.08,16535
Anthony Volpe,131,436,493,101,23,2,13,59,53,42,106,20,0.231,0.214,999,sa3010868
Keibert Ruiz,110,398,442,106,22,1,13,48,51,33,51,5,0.265,0.116,192.05,19610
Jose Siri,120,419,459,99,20,3,16,54,54,28,146,19,0.236,0.318,327.25,17452
Dylan Carlson,109,395,449,100,24,2,12,52,50,42,88,5,0.253,0.196,348.33,20126
Yasmani Grandal,82,275,331,63,10,0,11,38,37,49,73,1,0.23,0.22,266.96,11368
Rowdy Tellez,133,507,574,127,24,1,30,75,86,56,117,2,0.251,0.204,149.13,15679
Giancarlo Stanton,128,486,552,120,18,1,32,75,88,58,158,1,0.247,0.285,146.3,4949
Jose Miranda,131,505,553,135,30,1,18,64,70,34,96,2,0.267,0.173,167.86,20538
JosÃ© Abreu,150,570,642,155,32,1,22,80,85,54,123,1,0.273,0.191,95.13,15676
Alex Verdugo,138,557,617,158,36,2,14,78,65,46,91,5,0.283,0.147,202.66,17027
CJ Abrams,130,470,506,124,26,3,9,51,51,20,87,16,0.265,0.172,222.76,25768
RamÃ³n Laureano,138,528,590,123,28,1,20,66,68,42,153,19,0.233,0.26,227.43,17128
Mike Yastrzemski,125,452,516,106,26,2,17,60,60,51,129,5,0.235,0.25,350.01,14854
Javier BÃ¡ez,141,580,627,140,28,3,22,72,73,30,168,13,0.242,0.268,167.13,12979
Alec Bohm,146,545,595,148,26,2,15,64,67,39,117,5,0.271,0.197,176.29,21618
Gabriel Moreno,90,307,339,84,17,1,7,38,36,23,58,5,0.274,0.171,230.13,22664
Ezequiel Tovar,130,449,488,123,25,3,14,60,58,27,89,12,0.274,0.183,214.41,24064
Bryson Stott,118,431,480,108,22,2,12,51,50,40,96,12,0.25,0.2,229,26294
Max Kepler,122,454,520,109,23,2,18,62,64,55,90,6,0.241,0.174,352.09,12144
Teoscar HernÃ¡ndez,143,559,610,140,28,1,28,74,87,41,171,9,0.25,0.28,75.57,13066
Bryce Harper,79,295,349,80,18,1,16,50,51,48,74,9,0.273,0.211,197.57,11579
Andrew Vaughn,141,528,586,139,28,1,23,70,75,44,106,2,0.264,0.181,143.61,26197
Cody Bellinger,122,445,498,104,20,3,18,57,60,45,124,12,0.235,0.248,184.5,15998
William Contreras,118,445,498,109,19,1,22,60,68,45,130,2,0.245,0.261,119.04,20503
Brandon Crawford,122,451,507,110,21,2,13,54,56,43,106,4,0.245,0.21,442.59,5343
Hunter Renfroe,130,491,544,121,24,1,29,70,81,43,126,2,0.246,0.233,147.46,15464
Elvis Andrus,126,454,496,113,23,1,11,54,50,30,80,15,0.249,0.161,284.58,8709
Josh Naylor,130,489,544,133,29,1,21,67,74,43,89,6,0.271,0.163,217.55,18839
Joc Pederson,126,489,553,122,23,3,24,70,74,50,131,5,0.249,0.237,256.36,11899
Ryan McMahon,131,488,553,123,24,2,20,67,68,54,140,7,0.252,0.253,195.96,15112
Josh Bell,141,525,606,136,26,2,22,75,81,71,108,1,0.259,0.177,183.03,13145
Anthony Santander,150,596,660,148,30,1,29,79,91,48,132,2,0.248,0.2,130.78,14551
Alek Thomas,102,374,412,98,21,3,10,44,46,28,75,7,0.261,0.183,373.95,23792
Santiago Espinal,117,420,466,113,25,1,8,51,48,36,66,8,0.269,0.142,492.34,19997
