PlayerName,G,AB,PA,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Mauricio DubÃ³n,78,252,275,62,11,1,6,31,28,16,44,4,0.245,0.158,644.72,16530
Randal Grichuk,106,403,432,105,21,2,17,52,59,22,96,2,0.26,0.222,309.66,10243
Roberto PÃ©rez,47,151,173,31,5,0,5,16,17,18,56,0,0.202,0.327,747.76,2900
Jonathan Aranda,66,234,261,58,12,1,6,30,30,21,63,1,0.247,0.243,538.17,21837
James McCann,70,231,253,54,8,0,6,26,26,16,67,2,0.232,0.266,645.75,12859
Donovan Solano,63,228,250,62,13,0,4,24,24,15,47,0,0.273,0.188,712.97,8623
Daniel Vogelbach,85,273,326,62,10,1,12,36,39,49,79,0,0.229,0.244,608.86,14130
Korey Lee,49,153,165,32,6,0,5,17,18,10,50,2,0.212,0.301,698.87,25543
LaMonte Wade Jr.,108,366,421,85,16,2,14,52,46,44,87,4,0.232,0.207,436.86,18126
Taylor Walls,69,229,262,47,11,1,4,29,23,29,68,7,0.205,0.26,605.62,22458
Royce Lewis,53,196,214,50,12,1,6,26,23,15,44,6,0.255,0.204,520.01,20437
Robbie Grossman,103,355,415,80,16,1,9,45,40,50,101,9,0.224,0.243,491.36,5254
Geraldo Perdomo,65,205,235,46,8,1,3,25,19,23,49,5,0.223,0.209,723.09,22799
Aaron Hicks,97,323,378,72,13,2,9,43,36,49,89,7,0.221,0.234,560.67,5297
Connor Wong,43,128,139,31,7,1,4,15,15,8,41,1,0.238,0.291,697.41,19896
Kyle Lewis,69,250,282,59,10,0,10,33,33,28,78,3,0.237,0.278,583.74,19508
Curt Casali,58,177,205,37,7,0,6,22,22,24,60,0,0.212,0.292,718.54,12510
Matt Vierling,102,334,367,85,16,3,7,39,34,24,74,9,0.254,0.202,473.32,21558
Sam Haggerty,54,165,184,37,8,1,4,22,17,15,50,10,0.227,0.271,717.66,18054
Francisco Ãlvarez,40,136,156,31,6,0,6,18,19,16,43,0,0.225,0.276,381.37,26121
Sal Frelick,33,123,135,33,6,1,2,15,13,9,20,3,0.264,0.146,999,sa3017047
Mark Mathias,19,60,67,14,3,0,2,7,7,6,19,2,0.236,0.279,749.71,18032
Tommy Pham,92,340,389,79,14,1,10,48,38,42,98,8,0.233,0.252,420.46,2967
Darick Hall,100,357,393,82,18,1,18,45,51,28,109,1,0.231,0.278,517.03,19717
Luke Maile,48,146,164,32,7,0,4,16,16,15,45,0,0.219,0.272,750.74,13355
Harold RamÃ­rez,105,388,417,108,22,1,8,45,49,19,69,4,0.278,0.167,389.66,14387
Elehuris Montero,84,306,337,77,16,1,12,37,42,25,83,1,0.254,0.247,452.87,20543
Oscar Colas,109,411,444,101,17,2,15,48,52,24,118,3,0.246,0.267,999,sa3018099
Joey Wiemer,19,68,75,15,3,0,2,8,8,6,22,2,0.221,0.299,999,sa3014531
Andrew Knizner,51,158,178,35,7,0,3,18,16,15,37,0,0.221,0.206,748.91,19514
Emmanuel Rivera,77,266,291,66,13,2,9,33,32,20,65,2,0.247,0.224,691.22,19890
Brian Serven,62,205,226,47,9,1,6,23,23,14,50,1,0.229,0.22,717.78,19422
Abraham Toro,47,158,176,37,7,0,6,20,20,14,31,2,0.231,0.178,699.57,19844
Eric Hosmer,102,377,416,102,18,1,10,43,47,34,70,2,0.27,0.168,506.13,3516
Jordan Luplow,49,155,178,33,7,0,8,22,22,20,46,3,0.216,0.261,750.92,16424
Josh Harrison,71,249,274,64,12,1,5,29,26,15,45,3,0.256,0.163,661.75,8202
Jorge Alfaro,62,214,229,52,10,1,6,23,27,10,75,2,0.242,0.327,491.2,12180
Mike Brosseau,47,144,162,33,7,0,5,18,19,14,46,2,0.229,0.286,709.89,19683
CÃ©sar HernÃ¡ndez,61,227,252,56,10,1,3,27,20,20,48,3,0.249,0.191,704.97,10556
Yainer Diaz,35,106,113,27,5,0,3,12,14,6,23,0,0.254,0.201,599,23003
Kevin Smith,42,145,159,30,7,1,3,14,15,10,48,3,0.208,0.303,727.74,20242
Gavin Sheets,85,283,310,69,13,1,12,33,40,23,67,1,0.244,0.215,530.58,19901
Ezequiel Duran,56,205,220,48,11,1,6,24,23,12,56,5,0.233,0.255,644.39,23733
Jurickson Profar,114,412,471,103,22,2,11,60,45,48,73,7,0.251,0.154,397.11,10815
Luis Torrens,30,96,106,23,4,0,3,10,11,8,27,0,0.235,0.259,749.95,15905
JesÃºs Aguilar,102,379,419,90,17,0,14,41,53,32,91,1,0.237,0.217,468.84,11342
Ryan Kreidler,51,168,190,36,8,1,4,20,17,16,55,4,0.214,0.291,741.92,25867
Conner Capel,75,247,275,58,11,1,6,27,26,22,58,6,0.233,0.21,601.64,19983
