PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Drew Waters,92,323,77,18,2,7,40,34,24,112,9,0.239,0.318,547.86,20505
Adam Frazier,121,442,116,22,3,3,52,41,34,59,10,0.262,0.121,466.87,15223
Jeimer Candelario,126,468,113,26,2,14,55,57,40,118,1,0.243,0.228,406.61,13621
Jake Fraley,113,397,101,20,2,16,61,54,44,106,15,0.253,0.235,275.78,19260
Logan O'Hoppe,85,285,67,13,1,8,34,33,25,65,2,0.236,0.207,256.67,24729
Nick Fortes,75,252,60,11,1,7,30,31,19,51,4,0.24,0.184,348.03,21538
Luis GarcÃ­a,128,489,129,25,2,12,56,56,25,102,7,0.263,0.196,304.97,20391
C.J. Cron,136,514,135,25,1,27,75,83,45,137,0,0.263,0.238,144.54,12546
Garrett Cooper,114,414,108,21,1,12,54,53,42,115,1,0.262,0.245,421.79,15279
Yan Gomes,79,274,68,13,1,8,30,34,15,57,1,0.25,0.192,481.64,9627
Josh Jung,123,463,112,23,2,17,55,61,30,140,4,0.243,0.279,224.67,26299
Max Stassi,77,257,53,9,1,8,30,29,26,87,0,0.206,0.3,551.34,10059
Kevin Kiermaier,99,344,82,15,4,8,47,35,27,91,13,0.238,0.241,508.33,11038
Nick Castellanos,139,545,144,31,3,18,69,73,36,136,5,0.265,0.23,125.7,11737
Jonathan Schoop,127,484,118,23,2,15,52,58,24,106,2,0.243,0.204,434.25,11265
Austin Nola,87,296,73,14,1,5,34,32,26,54,1,0.246,0.164,408.54,15941
Jon Berti,79,277,67,12,2,4,41,22,30,70,25,0.244,0.223,277.75,12037
Anthony Volpe,83,315,72,17,2,9,40,34,25,78,11,0.228,0.225,999,sa3010868
Jorge Mateo,103,355,81,17,4,7,48,31,19,107,26,0.227,0.281,251.22,17273
Gabriel Moreno,104,350,96,19,1,6,41,41,21,66,4,0.274,0.175,230.13,22664
Adolis GarcÃ­a,145,571,130,28,3,25,77,73,35,183,22,0.228,0.296,60.16,19287
Austin Hays,133,504,126,25,2,15,61,63,31,111,6,0.249,0.204,272.75,19363
Orlando Arcia,90,310,75,12,0,9,38,37,24,66,4,0.242,0.195,593.95,13185
Chas McCormick,116,394,91,16,2,12,51,46,41,117,7,0.23,0.265,421.92,19599
Lane Thomas,125,456,107,23,2,15,60,52,42,126,12,0.233,0.248,286.68,16939
Santiago Espinal,106,373,95,18,1,6,44,37,27,63,9,0.254,0.155,492.34,19997
Brian Anderson,101,358,86,17,1,11,47,44,38,101,2,0.24,0.249,427.01,18289
Joey Gallo,121,409,79,14,1,22,59,61,65,173,3,0.192,0.359,377.26,14128
TJ Friedl,109,406,100,20,3,11,55,46,36,85,12,0.247,0.186,332.57,19522
Justin Turner,122,458,120,25,1,13,59,58,44,89,2,0.262,0.174,253.39,5235
Bryan De La Cruz,112,405,102,21,2,12,48,52,27,107,5,0.251,0.244,251.01,19600
Hunter Renfroe,131,492,115,24,1,26,66,73,41,134,2,0.234,0.247,147.46,15464
Rodolfo Castro,104,381,89,18,2,13,46,49,28,111,7,0.233,0.266,377.5,21987
