PlayerName,G,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,AVG,K%,ADP,id
Roman Quinn,14,42,9,1,0,1,6,4,4,15,3,0.213,0.317,750.3,13546
Brett Phillips,37,115,22,4,1,4,16,12,12,49,5,0.19,0.378,750,14735
Rafael Ortega,19,63,14,3,0,1,8,6,7,15,2,0.226,0.205,714.14,10323
Vimael MachÃ­n,15,43,10,2,0,1,5,5,4,8,0,0.244,0.172,999,17684
Canaan Smith-Njigba,24,77,19,4,0,2,10,9,9,21,2,0.247,0.244,742.62,23264
Bradley Zimmer,12,31,6,1,0,1,4,3,3,12,1,0.209,0.35,999,16221
Ronny Mauricio,11,29,7,1,0,1,3,3,1,7,1,0.243,0.24,999,sa3006887
Brayan Rocchio,10,27,7,1,0,1,3,3,2,6,1,0.248,0.2,999,sa3005898
Sergio AlcÃ¡ntara,30,70,16,3,0,1,8,7,6,19,1,0.23,0.243,747.25,16417
David Bote,11,35,8,2,0,1,4,4,3,10,0,0.229,0.27,748.72,14593
Rafael Marchan,10,32,8,2,0,0,3,3,2,5,0,0.241,0.144,999,21646
Jed Lowrie,8,25,6,1,0,1,3,3,2,6,0,0.239,0.211,999,4418
Yainer Diaz,35,107,27,5,0,3,12,13,5,23,0,0.255,0.203,599,23003
Seth Beer,10,30,7,2,0,1,3,4,2,7,0,0.235,0.219,999,20493
Jacob Amaya,11,37,8,2,0,1,4,4,3,10,0,0.227,0.233,999,sa3005081
Andrew Knapp,17,45,9,2,0,1,5,4,4,15,0,0.206,0.292,999,14942
Willie MacIver,8,26,6,1,0,1,3,3,2,8,0,0.229,0.271,999,sa3007828
Ben Rortvedt,13,42,8,2,0,1,4,4,3,14,0,0.2,0.302,749.66,20287
Richie Palacios,19,60,14,3,0,1,7,6,5,13,2,0.241,0.199,750.91,24589
Tyler Nevin,33,109,25,5,0,2,11,12,9,27,0,0.229,0.224,999,17893
Sean Bouchard,14,41,10,2,0,1,6,5,4,12,1,0.253,0.262,702.43,21270
George Valera,15,51,12,2,0,2,6,6,5,16,1,0.225,0.272,999,sa3006872
Isan DÃ­az,16,56,12,3,0,1,6,6,6,17,1,0.209,0.275,742.7,17922
Yohel Pozo,9,30,7,1,0,1,3,3,1,5,0,0.242,0.143,999,18848
Braden Shewmake,16,59,14,3,0,1,7,6,4,15,1,0.228,0.237,999,sa3010332
Ehire Adrianza,23,70,16,3,0,1,8,7,6,17,0,0.227,0.222,999,8418
Miles Mastrobuoni,7,22,6,1,0,0,3,2,2,5,0,0.253,0.207,749.46,20017
Michael Busch,10,35,8,2,0,1,4,4,3,11,0,0.22,0.296,999,sa3011540
